Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
2025-08-20;39,18;39,23;38,85;38,85;38,85;447639;1577;17406928;38,8861
2025-08-19;39,04;39,22;38,93;39,16;39,16;341202;1687;13356815;39,1464
2025-08-18;39,28;39,43;38,92;38,92;38,92;481852;1940;18815669;39,0486
2025-08-15;39,11;39,48;39,09;39,28;39,28;597134;2822;23463050;39,2928
2025-08-14;38,61;39,04;38,59;39,04;39,04;526779;1809;20520653;38,955
2025-08-13;38,48;38,55;38,36;38,55;38,55;487090;1571;18761332;38,5172
2025-08-12;38,46;38,51;38,27;38,34;38,34;373175;1534;14312060;38,3521
2025-08-11;38;38,34;37,91;38,34;38,34;515518;1847;19721293;38,2553
2025-08-08;37,5;37,92;37,5;37,85;37,85;739420;2305;27958902;37,8119
2025-08-07;36,9;37,59;36,9;37,36;37,36;625748;2507;23367492;37,3433
2025-08-06;36,85;37,14;36,78;36,92;36,92;538448;1918;19888532;36,9368
2025-08-05;36,74;36,97;36,62;36,66;36,66;492275;1757;18076491;36,7203
2025-08-04;36,36;36,8;36,35;36,57;36,57;615867;2055;22531982;36,5858
2025-08-01;36,1;36,96;36,01;36,2;36,2;606609;3585;22033477;36,3224
2025-07-31;36,79;37,9;36,15;36,15;36,15;2730883;11629;99892393;36,5693
2025-07-30;38,71;39,16;38,57;38,98;38,98;789429;2835;30757024;38,9611
2025-07-29;38,14;39,29;38,14;39,01;39,01;739533;3376;28810358;38,9575
2025-07-28;39;39,05;38,2;38,2;38,2;733927;3426;28205879;38,4315
2025-07-25;38,46;38,79;38,23;38,78;38,78;413559;1475;15994046;38,6742
2025-07-24;38,89;38,89;38,44;38,45;38,45;605791;1920;23328845;38,5097
2025-07-23;38,68;38,73;38,4;38,63;38,63;574037;2136;22170171;38,6215
2025-07-22;38,61;38,74;38,27;38,44;38,44;485243;1645;18656611;38,448
2025-07-21;38,91;38,92;38,49;38,6;38,6;540849;2244;20898367;38,6399
2025-07-18;38,88;38,92;38,6;38,84;38,84;534058;2086;20730714;38,8173
2025-07-17;38,26;38,73;38,26;38,68;38,68;668167;1778;25824074;38,6491
2025-07-16;38,56;38,7;38,09;38,16;38,16;625146;1982;23902538;38,2351
2025-07-15;38,94;38,94;38,53;38,64;38,64;1209393;3635;46758323;38,6626
2025-07-14;38,3;39,07;38,21;39,06;39,06;827643;2931;32203675;38,9101
2025-07-11;38,58;38,72;38,18;38,51;38,51;605500;2285;23294821;38,472
2025-07-10;39,41;39,45;38,55;38,6;38,6;604965;2023;23436090;38,7396
2025-07-09;38,96;39,42;38,76;39,35;39,35;714369;2106;28076455;39,3025
2025-07-08;39,3;39,39;38,72;38,84;38,84;720822;2591;28042159;38,903
2025-07-07;39,1;39,27;38,78;39,04;39,04;653198;1936;25488493;39,0211
2025-07-04;39,04;39,17;38,79;39,05;39,05;472445;1486;18434913;39,0202
2025-07-03;39,05;39,23;38,67;39,14;39,14;542848;2125;21200204;39,0539
2025-07-02;38,87;39,18;38,7;39,08;39,08;871230;3415;33998870;39,0242
2025-07-01;38,51;38,7;38,3;38,62;38,62;664464;2007;25639868;38,5873
2025-06-30;38,61;38,69;38,08;38,4;38,4;1020641;3506;39178703;38,3863
2025-06-27;38,01;38,54;37,89;38,4;38,4;891868;2759;34207597;38,3551
2025-06-26;37,59;37,98;37,55;37,98;37,98;680346;2732;25775860;37,8864
2025-06-25;37,59;37,88;37,48;37,6;37,6;559616;2366;21067929;37,6471
2025-06-24;37,57;37,88;37,24;37,43;37,43;644256;3279;24181930;37,5345
